keyword	day	clicks	pis	cpc	leads	sales	umsatz	cpo	cpl	scr	lcr	ka	ctr	cost	Nday
damenmode fruehling	2006-02-09	0	1	0	0	0	0	0	0	0	0	0	0	0	13188
fruehjahrskleidung	2006-02-07	0	1	0	0	0	0	0	0	0	0	0	0	0	13186
fruehlingskleidung	2006-03-16	0	1	0	0	0	0	0	0	0	0	0	0	0	13223
fruehlingskleidung	2006-03-20	0	2	0	0	0	0	0	0	0	0	0	0	0	13227
fruehlingsmode	2006-01-13	0	4	0	0	0	0	0	0	0	0	0	0	0	13161
fruehlingsmode	2006-01-04	1	9	0.38	0	0	0	0	0	0	0	0	0.111111	0.38	13152
fruehlingsmode	2006-01-07	0	3	0	0	0	0	0	0	0	0	0	0	0	13155
fruehlingsmode	2006-01-08	0	6	0	0	0	0	0	0	0	0	0	0	0	13156
fruehlingsmode	2006-01-09	0	6	0	0	0	0	0	0	0	0	0	0	0	13157
fruehlingsmode	2006-01-10	0	3	0	0	0	0	0	0	0	0	0	0	0	13158
fruehlingsmode	2006-01-05	0	7	0	0	0	0	0	0	0	0	0	0	0	13153
fruehlingsmode	2006-01-06	0	7	0	0	0	0	0	0	0	0	0	0	0	13154
fruehlingsmode	2006-01-11	1	2	0.37	0	0	0	0	0	0	0	0	0.5	0.37	13159
fruehlingsmode	2006-01-12	0	3	0	0	0	0	0	0	0	0	0	0	0	13160
modetrends fruehjahr	2006-04-01	0	1	0	0	0	0	0	0	0	0	0	0	0	13239
modetrends fruehjahr	2006-01-13	0	2	0	0	0	0	0	0	0	0	0	0	0	13161
modetrends fruehjahr	2006-01-14	0	1	0	0	0	0	0	0	0	0	0	0	0	13162
modetrends fruehjahr	2006-01-16	0	5	0	0	0	0	0	0	0	0	0	0	0	13164
modetrends fruehjahr	2006-03-06	0	3	0	0	0	0	0	0	0	0	0	0	0	13213
modetrends fruehjahr	2006-03-07	0	5	0	0	0	0	0	0	0	0	0	0	0	13214
modetrends fruehjahr	2006-03-08	0	2	0	0	0	0	0	0	0	0	0	0	0	13215
modetrends fruehjahr	2006-03-13	0	1	0	0	0	0	0	0	0	0	0	0	0	13220
modetrends fruehjahr	2006-03-26	1	0	0	0	0	0	0	0	0	0	0	0	0	13233
modetrends fruehjahr	2006-02-09	0	1	0	0	0	0	0	0	0	0	0	0	0	13188
modetrends fruehjahr	2006-04-21	0	1	0	0	0	0	0	0	0	0	0	0	0	13259
modetrends fruehjahr	2006-04-03	0	1	0	0	0	0	0	0	0	0	0	0	0	13241
modetrends fruehjahr	2006-03-15	0	2	0	0	0	0	0	0	0	0	0	0	0	13222
modetrends fruehjahr	2006-03-17	0	1	0	0	0	0	0	0	0	0	0	0	0	13224
modetrends fruehjahr	2006-03-20	0	1	0	0	0	0	0	0	0	0	0	0	0	13227
modetrends fruehjahr	2006-03-24	0	3	0	0	0	0	0	0	0	0	0	0	0	13231
modetrends fruehjahr	2006-03-25	0	2	0	0	0	0	0	0	0	0	0	0	0	13232
modetrends fruehjahr	2006-04-27	0	1	0	0	0	0	0	0	0	0	0	0	0	13265
modetrends fruehjahr	2006-03-30	0	1	0	0	0	0	0	0	0	0	0	0	0	13237
modetrends fruehjahr	2006-02-01	0	1	0	0	0	0	0	0	0	0	0	0	0	13180
modetrends fruehjahr	2006-02-14	0	1	0	0	0	0	0	0	0	0	0	0	0	13193
modetrends fruehjahr	2006-01-07	0	1	0	0	0	0	0	0	0	0	0	0	0	13155
modetrends fruehjahr	2006-01-31	0	1	0	0	0	0	0	0	0	0	0	0	0	13179
modetrends fruehjahr	2006-01-25	0	3	0	0	0	0	0	0	0	0	0	0	0	13173
modetrends fruehjahr	2006-04-07	0	2	0	0	0	0	0	0	0	0	0	0	0	13245
modetrends fruehjahr	2006-01-30	0	8	0	0	0	0	0	0	0	0	0	0	0	13178
modetrends fruehjahr	2006-04-11	0	1	0	0	0	0	0	0	0	0	0	0	0	13249
modetrends fruehjahr	2006-02-15	0	5	0	0	0	0	0	0	0	0	0	0	0	13194
modetrends fruehjahr	2006-02-20	1	0	0	0	0	0	0	0	0	0	0	0	0	13199
modetrends fruehjahr	2006-01-17	0	5	0	0	0	0	0	0	0	0	0	0	0	13165
modetrends fruehjahr	2006-01-18	0	2	0	0	0	0	0	0	0	0	0	0	0	13166
modetrends fruehjahr	2006-01-26	0	1	0	0	0	0	0	0	0	0	0	0	0	13174
modetrends fruehjahr	2006-01-22	0	1	0	0	0	0	0	0	0	0	0	0	0	13170
modetrends fruehjahr	2006-01-20	0	1	0	0	0	0	0	0	0	0	0	0	0	13168
modetrends fruehjahr	2006-02-04	0	1	0	0	0	0	0	0	0	0	0	0	0	13183
modetrends fruehjahr	2006-02-22	0	1	0	0	0	0	0	0	0	0	0	0	0	13201
modetrends fruehjahr	2006-02-25	0	1	0	0	0	0	0	0	0	0	0	0	0	13204
modetrends fruehjahr	2006-01-10	0	1	0	0	0	0	0	0	0	0	0	0	0	13158
modetrends fruehjahr	2006-02-11	0	1	0	0	0	0	0	0	0	0	0	0	0	13190
modetrends fruehjahr	2006-01-06	0	1	0	0	0	0	0	0	0	0	0	0	0	13154
modetrends fruehjahr	2006-02-12	0	2	0	0	0	0	0	0	0	0	0	0	0	13191
modetrends fruehjahr	2006-03-27	0	1	0	0	0	0	0	0	0	0	0	0	0	13234
modetrends fruehjahr	2006-02-26	0	2	0	0	0	0	0	0	0	0	0	0	0	13205
modetrends fruehjahr	2006-01-21	0	1	0	0	0	0	0	0	0	0	0	0	0	13169
modetrends fruehjahr	2006-01-27	0	1	0	0	0	0	0	0	0	0	0	0	0	13175
modetrends fruehjahr	2006-02-05	0	5	0	0	0	0	0	0	0	0	0	0	0	13184
modetrends fruehjahr	2006-02-07	0	1	0	0	0	0	0	0	0	0	0	0	0	13186
modetrends fruehling	2006-01-23	0	4	0	0	0	0	0	0	0	0	0	0	0	13171
modetrends fruehling	2006-01-27	0	5	0	0	0	0	0	0	0	0	0	0	0	13175
modetrends fruehling	2006-03-02	0	3	0	0	0	0	0	0	0	0	0	0	0	13209
modetrends fruehling	2006-05-01	0	1	0	0	0	0	0	0	0	0	0	0	0	13269
modetrends fruehling	2006-01-12	0	1	0	0	0	0	0	0	0	0	0	0	0	13160
modetrends fruehling	2006-04-27	0	1	0	0	0	0	0	0	0	0	0	0	0	13265
modetrends fruehling	2006-04-23	0	1	0	0	0	0	0	0	0	0	0	0	0	13261
modetrends fruehling	2006-01-28	0	2	0	0	0	0	0	0	0	0	0	0	0	13176
modetrends fruehling	2006-01-05	1	1	0.29	0	0	0	0	0	0	0	0	1	0.29	13153
modetrends fruehling	2006-01-26	0	6	0	0	0	0	0	0	0	0	0	0	0	13174
modetrends fruehling	2006-02-13	0	3	0	0	0	0	0	0	0	0	0	0	0	13192
modetrends fruehling	2006-01-13	0	2	0	0	0	0	0	0	0	0	0	0	0	13161
modetrends fruehling	2006-01-14	0	1	0	0	0	0	0	0	0	0	0	0	0	13162
modetrends fruehling	2006-02-01	0	7	0	0	0	0	0	0	0	0	0	0	0	13180
modetrends fruehling	2006-02-23	0	3	0	0	0	0	0	0	0	0	0	0	0	13202
modetrends fruehling	2006-03-01	0	1	0	0	0	0	0	0	0	0	0	0	0	13208
modetrends fruehling	2006-02-28	0	1	0	0	0	0	0	0	0	0	0	0	0	13207
modetrends fruehling	2006-01-31	0	13	0	0	0	0	0	0	0	0	0	0	0	13179
modetrends fruehling	2006-01-30	0	9	0	0	0	0	0	0	0	0	0	0	0	13178
modetrends fruehling	2006-02-02	0	8	0	0	0	0	0	0	0	0	0	0	0	13181
modetrends fruehling	2006-02-05	0	6	0	0	0	0	0	0	0	0	0	0	0	13184
modetrends fruehling	2006-01-21	0	2	0	0	0	0	0	0	0	0	0	0	0	13169
modetrends fruehling	2006-04-08	0	1	0	0	0	0	0	0	0	0	0	0	0	13246
modetrends fruehling	2006-02-22	0	4	0	0	0	0	0	0	0	0	0	0	0	13201
modetrends fruehling	2006-01-29	0	4	0	0	0	0	0	0	0	0	0	0	0	13177
