ModelID	Posteriors	Posteriors	treat	age	sex	asc	hepa	spid	edema	bili	albu	copp	alpho	SGOT	plate	thromb	hist	SEtreat	SEage	SEsex	SEasc	SEhepa	SEspid	SEedema	SEbili	SEalbu	SEcopp	SEalpho	SESGOT	SEplate	SEthromb	SEhist	Intreat	Inage	InSex	Inasc	Inhepa	Inspid	Inedema	Inbili	Inalbu	Incopp	Inalpho	InSGOT	Inplate	Inthromb	Inhist	ttreat	tage	tSex	tasc	thepa	tspid	tedema	tbili	talbu	tcopp	talpho	tSGOT	tplate	tthromb	thist	abstSex	abstAlbu	abstAlpho	abstPlate	NoVars
1	0.1736	0.1736	0	0.03162	0	0	0	0	0.82743	0.76267	-2.83651	0.36213	0	0	0	0.25819	0	0	0.00861	0	0	0	0	0.29971	0.115	0.73963	0.1361	0	0	0	0.09159	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	3.672473868	0	0	0	0	2.760768743	6.631913043	-3.835039141	2.660764144	0	0	0	2.818975871	0	0	3.835039141	0	0	6
2	0.07878	0.07878	0	0.02891	0	0	0	0	0.82762	0.74636	-2.47009	0.34907	0	0	0	0.23075	0.24107	0	0.0087	0	0	0	0	0.29977	0.11504	0.76723	0.13541	0	0	0	0.09851	0.13692	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	3.322988506	0	0	0	0	2.760849985	6.48783032	-3.219490896	2.577874603	0	0	0	2.342401787	1.760663161	0	3.219490896	0	0	7
3	0.07296	0.07296	0	0.03018	0	0	0	0	1.02476	0.78711	-2.41129	0.34455	0	0	0	0	0.30812	0	0.0086	0	0	0	0	0.29209	0.11409	0.7705	0.13641	0	0	0	0	0.13655	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	3.509302326	0	0	0	0	3.508370708	6.899027084	-3.129513303	2.525841214	0	0	0	0	2.256462834	0	3.129513303	0	0	6
4	0.05654	0.05654	0	0.03404	0	0	0	0	1.05437	0.80892	-2.8821	0.36024	0	0	0	0	0	0	0.00847	0	0	0	0	0.29409	0.11465	0.74239	0.1384	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	4.018890201	0	0	0	0	3.585195008	7.055560401	-3.882191301	2.602890173	0	0	0	0	0	0	3.882191301	0	0	5
5	0.05254	0.05254	0	0.03026	0	0	0	0	0	0.80696	-3.3058	0.36223	0	0	0	0.31055	0	0	0.00847	0	0	0	0	0	0.11336	0.68649	0.13645	0	0	0	0.08501	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	3.572609209	0	0	0	0	0	7.118560339	-4.815510787	2.654672041	0	0	0	3.653099635	0	0	4.815510787	0	0	5
6	0.04811	0.04811	0	0.03313	0	0	0	0	0.82712	0.89481	-3.03048	0	0	0	0	0.23814	0	0	0.00874	0	0	0	0	0.29995	0.09989	0.73205	0	0	0	0	0.08554	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	3.790617849	0	0	0	0	2.757526254	8.957953749	-4.139717232	0	0	0	0	2.78396072	0	0	4.139717232	0	0	5
7	0.03773	0.03773	0	0.02902	0	0	0	0	0.78994	0.75231	-2.98543	0.42116	-0.00005	0	0	0.27211	0	0	0.00872	0	0	0	0	0.29907	0.11615	0.74033	0.1441	0.00004	0	0	0.09213	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	3.327981651	0	0	0	0	2.64132143	6.477055532	-4.032566558	2.922692575	-1.25	0	0	2.953543905	0	0	4.032566558	1.25	0	7
8	0.03216	0.03216	0	0.03442	0	0	0	0	0.85332	0.7042	-2.78164	0.34533	0	0.00212	0	0.276	0	0	0.009	0	0	0	0	0.30095	0.12631	0.74142	0.13745	0	0.00172	0	0.09185	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	3.824444444	0	0	0	0	2.835421166	5.575172195	-3.751773624	2.512404511	0	1.23255814	0	3.004899292	0	0	3.751773624	0	0	7
9	0.02908	0.02908	0	0.03133	0	0	0	0	1.00852	0.90142	-2.5297	0	0	0	0	0	0.31468	0	0.00877	0	0	0	0	0.29463	0.10115	0.76755	0	0	0	0	0	0.1345	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	3.572405929	0	0	0	0	3.423005125	8.911715274	-3.295811348	0	0	0	0	0	2.339628253	0	3.295811348	0	0	5
10	0.02732	0.02732	0	0.03026	0	0	0	0	0.8316	0.86481	-2.62087	0	0	0	0	0.21481	0.25087	0	0.00884	0	0	0	0	0.3	0.10182	0.76335	0	0	0	0	0.09356	0.13387	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	3.423076923	0	0	0	0	2.772	8.493517973	-3.433379184	0	0	0	0	2.295959812	1.873982222	0	3.433379184	0	0	6
